Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
06-Apr-20,EMAS,670,100.00%,66.53%,189,18.77%,33,3.28%,13,1.29%,383.35,113.48,28.86,195.07,23.06,40.61,387.07,0.38
06-Apr-20,IOW,11,57.58%,57.89%,1,5.26%,0,0.00%,0,0.00%,1.21,0.16,0,39.52,21.35,21.15,6.76,0.06
06-Apr-20,LAS,"1,065",94.22%,73.35%,308,21.21%,31,2.13%,31,2.13%,224.74,66.84,16.71,185.8,23.2,36.44,561.4,0.15
06-Apr-20,NEAS,197,65.71%,53.53%,23,6.25%,1,0.27%,0,0.00%,24.14,8.25,0.77,61.02,16.66,53.8,102.17,0.07
06-Apr-20,NWAS,630,61.52%,72.16%,175,20.05%,19,2.18%,8,0.92%,133.9,42.94,8.39,118.55,23.1,40.9,336.07,0.15
06-Apr-20,SCAS,212,73.38%,43.44%,18,3.69%,0,0.00%,0,0.00%,21.52,2.3,0,47.92,15.22,21.27,123.82,0.04
06-Apr-20,SECAmb,634,89.79%,71.40%,139,15.65%,8,0.90%,2,0.23%,110.23,25.43,2.96,111.15,21.41,33.12,316.89,0.12
06-Apr-20,SWAS,337,100.00%,31.94%,47,4.45%,2,0.19%,0,0.00%,45.44,7.77,0.34,73.37,12.88,23.5,226.4,0.04
06-Apr-20,WMAS,898,85.07%,70.05%,158,12.32%,11,0.86%,1,0.08%,135.47,23.32,1.27,102.18,20.33,30.72,434.47,0.11
06-Apr-20,YAS,236,70.65%,35.65%,62,9.37%,2,0.30%,0,0.00%,46.49,11.61,0.58,85.42,13.78,29.33,152.09,0.07
07-Apr-20,EEAST,619,88.42%,68.10%,151,16.61%,22,2.42%,5,0.55%,121.91,36.78,6.82,162.48,21.47,35.76,325.21,0.13
07-Apr-20,EMAS,704,100.00%,69.43%,196,19.33%,15,1.48%,5,0.49%,373.02,92.95,10.67,187.32,22.12,35.35,373.83,0.37
07-Apr-20,IOW,7,52.94%,77.78%,1,11.11%,0,0.00%,0,0.00%,0.86,0.05,0,32.72,26.94,27.67,4.04,0.1
07-Apr-20,LAS,"1,010",95.34%,73.62%,260,18.95%,12,0.87%,12,0.87%,189.64,42.89,5.71,175.37,22.1,33.89,505.32,0.14
07-Apr-20,NEAS,161,62.13%,48.35%,24,7.21%,2,0.60%,0,0.00%,22.41,10.27,1.95,79.07,16.3,52.93,90.46,0.07
07-Apr-20,NWAS,572,61.74%,65.90%,146,16.82%,9,1.04%,3,0.35%,106.87,28.1,3.81,133.35,21,34.14,303.87,0.12
07-Apr-20,SCAS,191,74.18%,40.30%,13,2.74%,4,0.84%,1,0.21%,20.92,4.61,0.95,98.15,15.09,20.41,119.23,0.04
07-Apr-20,SECAmb,605,90.88%,68.99%,118,13.45%,4,0.46%,2,0.23%,92.25,16.78,1.29,96.47,20.11,31.24,293.93,0.11
07-Apr-20,SWAS,212,100.00%,23.79%,41,4.60%,2,0.22%,0,0.00%,30.58,5.9,0.29,71.4,11.55,22.25,171.54,0.03
07-Apr-20,WMAS,779,83.87%,65.41%,131,11.00%,4,0.34%,0,0.00%,108.66,16.16,0.47,69.13,19.36,29.41,384.3,0.09
07-Apr-20,YAS,221,71.14%,34.48%,35,5.46%,0,0.00%,0,0.00%,31.77,5.61,0,54.77,12.84,24.62,137.2,0.05
08-Apr-20,EEAST,630,87.81%,70.55%,128,14.33%,16,1.79%,3,0.34%,112.9,27.07,5.96,162.03,21.26,32.99,316.44,0.13
08-Apr-20,EMAS,717,100.00%,68.03%,193,18.31%,22,2.09%,7,0.66%,388.32,96.8,13.31,178.33,22.08,36.42,387.82,0.37
08-Apr-20,IOW,15,50.00%,166.67%,4,44.44%,0,0.00%,0,0.00%,2.76,0.85,0,56.52,44.62,38.22,6.69,0.31
08-Apr-20,LAS,998,96.05%,72.06%,272,19.64%,23,1.66%,23,1.66%,197.41,51.26,11.43,163.03,22.37,35.75,516.49,0.14
08-Apr-20,NEAS,184,64.92%,54.93%,24,7.16%,1,0.30%,0,0.00%,21.38,8.43,0.85,66.07,16.52,52.54,92.25,0.06
08-Apr-20,NWAS,582,61.93%,67.75%,144,16.76%,8,0.93%,0,0.00%,105.46,24.82,1.51,88.03,21.08,35.22,301.81,0.12
08-Apr-20,SCAS,202,75.70%,39.53%,21,4.11%,3,0.59%,1,0.20%,25.74,4.2,0.92,94.02,15.43,22.68,131.39,0.05
08-Apr-20,SECAmb,563,91.87%,64.71%,94,10.80%,5,0.57%,0,0.00%,81.64,14.97,0.92,83.45,19.14,30.34,277.58,0.09
08-Apr-20,SWAS,242,100.00%,26.16%,50,5.41%,1,0.11%,0,0.00%,35.58,6.53,0,60.23,12.03,22.84,185.41,0.04
08-Apr-20,WMAS,715,83.88%,60.54%,108,9.14%,12,1.02%,3,0.25%,105.24,22.72,4.4,119.52,19.01,30.2,374.14,0.09
08-Apr-20,YAS,181,69.49%,31.05%,34,5.83%,1,0.17%,0,0.00%,27.85,5.58,0.04,62.17,12.3,23.54,119.5,0.05
09-Apr-20,EEAST,599,85.04%,70.72%,134,15.82%,12,1.42%,1,0.12%,104.93,22.46,2.59,111.58,21.01,34.43,296.65,0.12
09-Apr-20,EMAS,642,100.00%,65.71%,141,14.43%,5,0.51%,0,0.00%,322.81,62.63,2.73,81.07,19.92,32.05,324.4,0.33
09-Apr-20,IOW,12,29.17%,171.43%,1,14.29%,1,14.29%,0,0.00%,1.69,0.54,0.04,62.43,49.15,24.17,5.73,0.24
