Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Oct-20,SWAS,"14,856",100.00%,34.54%,"4,580",10.65%,"1,322",3.07%,556,1.29%,"4,096.70","1,999.53",773.25,364.42,16.21,33.59,"11,621.18",0.1
Oct-20,WMAS,"25,210",89.98%,52.19%,"5,580",11.55%,"1,676",3.47%,734,1.52%,"5,644.99","2,543.70","1,043.58",322.72,20.09,35.72,"16,172.23",0.12
Oct-20,YAS,"10,348",72.59%,39.98%,"3,533",13.65%,984,3.80%,432,1.67%,"3,125.01","1,574.58",642.17,531.5,17.71,37.97,"7,639.93",0.12
Nov-20,EEAST,"24,219",94.02%,61.95%,"5,438",13.91%,"1,458",3.73%,665,1.70%,"5,376.51","2,308.49",934.2,437.27,21.77,39.05,"14,188.50",0.14
Nov-20,EMAS,"22,934",100.00%,62.63%,"6,293",17.19%,"1,640",4.48%,831,2.27%,"13,052.26","4,494.55","1,650.86",420,23.39,43.7,"14,273.91",0.36
Nov-20,IOW,443,93.63%,38.12%,57,4.91%,4,0.34%,0,0.00%,52.25,8.63,1.08,88.98,15.19,23.17,294.1,0.04
Nov-20,LAS,"32,174",97.00%,59.92%,"6,210",11.57%,539,1.00%,539,1.00%,"5,512.86","1,430.42",400.14,400.8,19.47,30.66,"17,423.52",0.1
Nov-20,NEAS,"7,357",76.59%,53.14%,"1,234",8.91%,220,1.59%,65,0.47%,"1,203.65",672.15,261.68,235.28,18.05,55.65,"4,164.41",0.09
Nov-20,NWAS,"18,991",67.35%,59.24%,"4,466",13.93%,771,2.41%,299,0.93%,"3,834.22","1,356.14",423.86,330.67,20.52,35.62,"10,961.50",0.12
Nov-20,SCAS,"9,273",83.64%,42.92%,"2,021",9.35%,642,2.97%,292,1.35%,"2,090.19",997.82,439.18,330.28,18.39,31.45,"6,621.25",0.1
