Month Year,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
May-22,LAS,"31,548",86.83%,70.17%,"11,739",26.11%,"2,596",5.77%,"1,364",3.03%,"10,032.05","5,017.90","2,128.25",462.5,27.09,48.38,"20,297.03",0.22
May-22,NEAS,"8,312",80.01%,55.78%,"2,415",16.21%,585,3.93%,196,1.32%,"2,058.45","1,536.09",742.03,246.35,21.38,58.65,"5,309.63",0.14
May-22,NWAS,"22,933",73.19%,64.64%,"8,412",23.71%,"2,468",6.96%,"1,207",3.40%,"7,707.35","4,120.38","1,856.98",412,26.54,53.01,"15,691.92",0.22
May-22,SCAS,"12,286",86.05%,51.59%,"3,572",15.00%,"1,264",5.31%,753,3.16%,"4,163.13","2,488.71","1,454.38",470.67,23.41,42.22,"9,292.28",0.17
May-22,SECAmb,"20,679",93.37%,60.45%,"5,346",15.63%,898,2.62%,284,0.83%,"4,356.41","1,587.96",403.37,227.53,21.12,36.47,"12,040.04",0.13
May-22,SWAS,"22,053",100.00%,64.19%,"14,226",41.41%,"9,077",26.42%,"6,897",20.08%,"32,652.16","28,280.31","22,696.92","1,398.80",69.73,167.31,"39,926.54",0.95
May-22,WMAS,"32,942",88.70%,70.17%,"14,878",31.69%,"7,352",15.66%,"4,996",10.64%,"21,349.68","15,814.06","10,749.50","1,027.00",41.12,94.96,"32,174.42",0.45
May-22,YAS,"14,753",73.07%,59.10%,"7,261",29.09%,"2,976",11.92%,"1,640",6.57%,"7,240.06","4,641.42","2,348.04",451.47,29.84,62.62,"12,414.52",0.29
Jun-22,EEAST,"23,181",81.17%,79.23%,"11,255",38.47%,"5,290",18.08%,"3,443",11.77%,"14,368.91","10,291.72","6,506.27",612.1,43.72,98.18,"21,322.33",0.49
Jun-22,EMAS,"24,149",100.00%,74.55%,"10,940",33.77%,"4,745",14.65%,"3,204",9.89%,"23,403.33","14,223.38","8,701.85",739,42.2,95.1,"22,780.76",0.72
Jun-22,IOW,292,97.57%,20.24%,23,1.59%,1,0.07%,0,0.00%,26.87,3.59,0.43,85.73,12.55,18.06,301.76,0.02
Jun-22,LAS,"29,086",86.10%,70.79%,"11,755",28.61%,"3,140",7.64%,"1,676",4.08%,"10,717.82","5,957.23","2,794.70",529.83,29.35,54.15,"20,098.38",0.26
Jun-22,NEAS,"8,174",77.92%,57.84%,"2,695",19.07%,818,5.79%,368,2.60%,"2,464.24","1,972.98","1,148.29",295.62,23.61,66.01,"5,560.12",0.17
Jun-22,NWAS,"20,782",70.87%,65.17%,"7,751",24.31%,"2,563",8.04%,"1,355",4.25%,"7,725.36","4,472.83","2,270.27",556.95,28.06,56.94,"14,912.14",0.24
Jun-22,SCAS,"12,048",82.40%,56.73%,"4,135",19.47%,"1,677",7.90%,964,4.54%,"5,001.22","3,256.21","1,981.76",498.17,27.3,50.48,"9,663.81",0.24
Jun-22,SECAmb,"19,948",93.07%,62.24%,"5,267",16.43%,862,2.69%,249,0.78%,"4,208.11","1,509.37",337.65,216.28,21.43,36.66,"11,449.26",0.13
Jun-22,SWAS,"22,328",100.00%,67.30%,"14,858",44.79%,"9,513",28.68%,"7,211",21.74%,"34,308.42","29,799.20","23,953.09","1,395.03",74.99,176.22,"41,462.63",1.03
Jun-22,WMAS,"31,645",87.02%,71.48%,"16,080",36.32%,"9,147",20.66%,"6,623",14.96%,"28,280.23","22,711.90","16,802.59","1,344.00",52.22,126.17,"38,530.53",0.64
Jun-22,YAS,"13,830",72.74%,58.84%,"6,999",29.78%,"2,978",12.67%,"1,622",6.90%,"7,253.74","4,783.69","2,516.13",576.05,30.91,64.82,"12,110.21",0.31
Jul-22,EEAST,"22,327",78.54%,81.94%,"12,193",44.75%,"6,756",24.79%,"4,753",17.44%,"18,454.88","14,317.03","9,883.21",644.1,54.97,127.75,"24,962.53",0.68
Jul-22,EMAS,"23,829",100.00%,76.04%,"10,945",34.92%,"4,638",14.80%,"3,170",10.12%,"23,099.46","13,684.55","8,036.85","1,055.00",41.74,91.47,"21,799.43",0.74
Jul-22,IOW,369,97.81%,24.28%,47,3.09%,2,0.13%,0,0.00%,39.99,6.56,0.47,84.38,13.39,19.87,339.21,0.03
Jul-22,LAS,"30,695",86.16%,73.76%,"13,454",32.33%,"4,228",10.16%,"2,419",5.81%,"13,053.01","7,838.09","4,007.87",500.15,32.65,63.18,"22,647.90",0.31
Jul-22,NEAS,"8,083",73.04%,61.21%,"2,740",20.75%,851,6.44%,385,2.92%,"2,516.30","2,034.73","1,210.67",284.28,24.73,68.86,"5,442.54",0.19
Jul-22,NWAS,"21,612",69.65%,68.70%,"9,431",29.98%,"3,507",11.15%,"1,870",5.94%,"9,502.44","5,884.73","3,040.71",485.72,31.81,66.55,"16,677.89",0.3
Jul-22,SCAS,"13,271",82.92%,61.76%,"4,918",22.89%,"2,010",9.35%,"1,158",5.39%,"5,698.45","3,683.63","2,156.36",761.3,29.32,54.66,"10,500.15",0.27
Jul-22,SECAmb,"20,693",93.31%,65.06%,"6,033",18.97%,"1,133",3.56%,356,1.12%,"4,844.59","1,915.53",493.43,211.27,22.82,39.95,"12,094.09",0.15
Jul-22,SWAS,"23,112",100.00%,70.33%,"15,751",47.93%,"10,149",30.89%,"7,582",23.07%,"36,274.38","31,554.32","25,311.61","1,435.75",79.39,190.22,"43,476.96",1.1
Jul-22,WMAS,"32,437",85.73%,74.63%,"17,131",39.41%,"9,732",22.39%,"7,096",16.33%,"31,455.09","25,601.81","19,337.31","1,341.00",57.44,140.59,"41,609.17",0.72
Jul-22,YAS,"13,822",70.94%,58.94%,"7,063",30.12%,"3,083",13.15%,"1,739",7.42%,"7,465.17","4,993.96","2,670.97",542.92,31.53,66.87,"12,322.42",0.32
Aug-22,EEAST,"22,651",80.89%,79.72%,"11,456",40.32%,"5,813",20.46%,"3,922",13.80%,"16,308.32","12,276.89","8,314.45",698.73,48.71,108.29,"23,067.10",0.57
Aug-22,EMAS,"23,231",100.00%,73.18%,"10,011",31.54%,"4,183",13.18%,"2,680",8.44%,"20,725.98","11,595.43","6,409.17",726,37.48,80.58,"19,828.70",0.65
Aug-22,IOW,365,97.52%,25.12%,33,2.27%,2,0.14%,1,0.07%,37.42,5.11,0.78,93.33,13.21,19.77,319.95,0.03
Aug-22,LAS,"29,784",87.56%,71.53%,"12,061",28.96%,"3,272",7.86%,"1,825",4.38%,"11,015.06","6,129.27","2,921.17",434.37,29.64,55.66,"20,568.53",0.26
Aug-22,NEAS,"8,590",76.66%,62.41%,"2,952",21.45%,909,6.60%,411,2.99%,"2,692.53","2,163.60","1,283.62",269.73,25.14,68.13,"5,766.76",0.2
Aug-22,NWAS,"21,782",70.42%,69.65%,"9,442",30.19%,"3,400",10.87%,"1,815",5.80%,"9,515.87","5,883.51","3,069.40",579.58,31.99,67.68,"16,672.30",0.3
Aug-22,SCAS,"12,404",84.24%,58.43%,"4,016",18.92%,"1,527",7.19%,888,4.18%,"4,817.53","3,045.55","1,854.15",573.07,26.9,48.65,"9,515.99",0.23
Aug-22,SECAmb,"19,984",93.41%,63.99%,"5,598",17.92%,"1,064",3.41%,256,0.82%,"4,472.92","1,723.90",402.53,269.95,22.23,38.3,"11,572.98",0.14
Aug-22,SWAS,"23,196",100.00%,71.20%,"15,540",47.70%,"9,658",29.65%,"7,141",21.92%,"33,817.53","29,090.46","23,051.40","1,414.65",75.53,176.98,"41,009.26",1.04
Aug-22,WMAS,"32,553",87.54%,74.49%,"16,432",37.60%,"8,834",20.22%,"6,261",14.33%,"27,524.65","21,762.00","15,923.95","1,218.00",51.83,123.71,"37,746.93",0.63
Aug-22,YAS,"13,642",70.42%,59.60%,"6,887",30.09%,"2,902",12.68%,"1,573",6.87%,"7,088.96","4,659.80","2,434.53",557.8,31.03,64.52,"11,838.00",0.31
Sep-22,EEAST,"21,373",79.59%,79.16%,"11,459",42.44%,"6,288",23.29%,"4,394",16.27%,"17,788.74","13,890.66","9,760.22",716.88,53.77,123.17,"24,193.64",0.66
Sep-22,EMAS,"23,756",100.00%,74.01%,"10,565",32.91%,"4,664",14.53%,"3,075",9.58%,"20,814.87","12,586.42","7,461.09",771,40.06,88.42,"21,431.28",0.65
Sep-22,IOW,360,96.08%,26.22%,39,2.84%,0,0.00%,0,0.00%,34.27,3.61,0,48.28,13.36,19.51,305.71,0.02
Sep-22,LAS,"28,619",85.92%,70.62%,"11,859",29.26%,"3,388",8.36%,"1,856",4.58%,"10,907.47","6,173.18","2,946.79",546.57,29.82,56.37,"20,142.37",0.27
Sep-22,NEAS,"8,549",74.92%,62.84%,"3,162",23.24%,"1,045",7.68%,482,3.54%,"2,874.33","2,381.36","1,457.50",276.73,26.08,70.62,"5,912.57",0.21
Sep-22,NWAS,"21,782",70.76%,70.97%,"9,886",32.21%,"3,984",12.98%,"2,265",7.38%,"10,569.37","6,856.27","3,774.04",600.18,34.45,73.63,"17,621.61",0.34
Sep-22,SCAS,"11,894",83.93%,58.28%,"4,264",20.89%,"1,865",9.14%,"1,179",5.78%,"5,601.41","3,830.04","2,460.84",765.85,29.73,55.63,"10,113.86",0.27
Sep-22,SECAmb,"19,520",93.29%,63.68%,"5,671",18.50%,"1,179",3.85%,300,0.98%,"4,596.94","1,846.61",447.84,234.18,22.6,39,"11,547.49",0.15
Sep-22,SWAS,"23,051",100.00%,72.03%,"15,616",48.80%,"10,000",31.25%,"7,583",23.70%,"37,253.27","32,546.44","26,383.57","1,772.60",83.13,199.45,"44,339.90",1.16
Sep-22,WMAS,"31,012",87.34%,73.42%,"15,771",37.34%,"8,766",20.75%,"6,223",14.73%,"27,365.92","21,875.53","16,186.45","1,119.00",52.84,125.8,"37,203.40",0.65
Sep-22,YAS,"13,052",67.34%,61.18%,"7,126",33.40%,"3,394",15.91%,"2,027",9.50%,"8,234.28","5,823.58","3,403.34","1,139.93",35.69,75.79,"12,691.03",0.39
Oct-22,EEAST,"20,742",75.51%,83.02%,"12,966",51.90%,"7,894",31.60%,"5,855",23.43%,"24,192.09","20,112.07","15,184.77",718.1,72.44,0,"30,165.06",0.97
Oct-22,EMAS,"24,702",100.00%,75.19%,"12,138",36.95%,"5,632",17.14%,"3,810",11.60%,"22,868.81","15,173.49","9,528.46",713,44.71,103.43,"24,477.86",0.7
Oct-22,IOW,370,97.31%,26.26%,55,3.90%,3,0.21%,2,0.14%,48.02,10.69,1.61,102.13,14,20.62,328.72,0.03
Oct-22,LAS,"28,554",84.98%,68.02%,"13,557",32.29%,"5,469",13.03%,"3,178",7.57%,"14,754.32","9,796.68","5,504.37",592.1,34.21,73.79,"23,937.29",0.35
Oct-22,NEAS,"8,292",68.46%,68.80%,"3,491",28.97%,"1,360",11.28%,684,5.68%,"3,429.37","2,972.44","2,014.76",281.5,30.66,91.11,"6,158.46",0.28
Oct-22,NWAS,"22,315",68.40%,74.35%,"11,493",38.29%,"5,091",16.96%,"3,005",10.01%,"13,277.35","9,245.51","5,471.62",621.52,40.46,87.92,"20,240.11",0.44
Oct-22,SCAS,"12,913",83.36%,59.12%,"4,445",20.35%,"1,659",7.60%,953,4.36%,"5,413.36","3,505.56","2,177.48",812.3,28.12,52.67,"10,236.97",0.25
Oct-22,SECAmb,"20,409",91.00%,65.42%,"6,416",20.57%,"1,444",4.63%,466,1.49%,"5,275.52","2,320.83",700.89,424,23.83,42.4,"12,388.36",0.17
Oct-22,SWAS,"25,061",100.00%,75.43%,"17,772",53.49%,"11,478",34.55%,"8,681",26.13%,"41,343.67","36,089.39","29,033.85","2,138.52",88.16,214.49,"48,817.40",1.24
Oct-22,WMAS,"30,761",87.11%,74.70%,"15,630",37.95%,"8,537",20.73%,"6,342",15.40%,"29,126.54","23,650.59","18,050.75","1,510.00",56.48,134.45,"38,762.75",0.71
Oct-22,YAS,"13,938",68.36%,62.31%,"7,675",34.31%,"3,518",15.73%,"2,087",9.33%,"8,794.00","6,200.60","3,605.75",621.22,36.14,76.42,"13,471.92",0.39
Nov-22,EEAST,"22,638",80.33%,79.40%,"13,261",46.51%,"7,657",26.85%,"5,548",19.46%,"21,812.60","17,487.40","12,539.22",717.05,60.11,140.48,"28,565.31",0.77
Nov-22,EMAS,"24,332",100.00%,73.37%,"10,322",31.12%,"4,113",12.40%,"2,698",8.14%,"18,922.37","11,293.01","6,694.06","1,645.00",37.71,82.3,"20,843.91",0.57
Nov-22,IOW,368,97.11%,26.72%,34,2.47%,1,0.07%,0,0.00%,37.53,4.63,0.5,89.73,13.48,19.9,309.27,0.03
Nov-22,LAS,"28,427",82.43%,66.57%,"13,585",31.81%,"5,574",13.05%,"3,322",7.78%,"15,478.90","10,572.21","6,233.76",844.53,34.79,75.33,"24,762.33",0.36
Nov-22,NEAS,"8,143",71.31%,65.68%,"3,176",25.62%,"1,243",10.03%,662,5.34%,"3,195.80","2,720.71","1,875.78",271.27,28.96,85.14,"5,983.92",0.26
Nov-22,NWAS,"22,849",72.69%,72.27%,"11,086",35.07%,"4,701",14.87%,"2,705",8.56%,"12,392.94","8,375.19","4,821.24",619.97,37.36,79.36,"19,687.54",0.39
Nov-22,SCAS,"12,396",82.79%,56.75%,"4,138",18.94%,"1,400",6.41%,713,3.26%,"4,496.57","2,702.64","1,509.45",683.72,25.48,48.48,"9,276.84",0.21
Nov-22,SECAmb,"19,940",90.41%,64.61%,"5,553",17.99%,790,2.56%,148,0.48%,"4,214.78","1,441.84",228.2,223.63,21.82,36.07,"11,225.38",0.14
Nov-22,SWAS,"25,144",100.00%,72.73%,"16,592",47.99%,"9,452",27.34%,"6,625",19.16%,"30,806.60","25,697.59","19,492.48","2,338.28",66.79,161.92,"38,486.89",0.89
Nov-22,WMAS,"31,088",89.44%,73.08%,"14,838",34.88%,"7,529",17.70%,"5,205",12.24%,"23,445.68","18,060.06","12,958.87","1,540.00",47.04,107.97,"33,352.19",0.55
Nov-22,YAS,"14,390",70.24%,61.66%,"7,721",33.08%,"3,386",14.51%,"1,915",8.21%,"8,614.98","5,981.29","3,446.09",778.58,34.66,74.64,"13,481.26",0.37
Dec-22,EEAST,"21,632",76.11%,84.50%,"14,556",56.86%,"9,414",36.77%,"7,137",27.88%,"29,052.10","24,631.71","18,885.16",719.43,82.47,198.83,"35,188.38",1.13
Dec-22,EMAS,"24,910",100.00%,79.96%,"13,946",44.76%,"7,638",24.52%,"5,640",18.10%,"31,775.88","24,289.62","17,765.90","1,141.00",64.66,153.95,"33,575.47",1.02
Dec-22,IOW,526,96.83%,35.18%,94,6.29%,4,0.27%,2,0.13%,75.53,16.38,2.48,136.82,15.4,24.16,383.79,0.05
Dec-22,LAS,"30,878",82.49%,71.10%,"17,343",39.94%,"8,958",20.63%,"6,144",14.15%,"29,923.32","24,150.72","18,011.86","1,451.93",54.62,134.13,"39,536.01",0.69
Dec-22,NEAS,"7,370",60.92%,72.84%,"3,685",36.42%,"1,906",18.84%,"1,256",12.41%,"4,875.21","4,521.41","3,728.27",444.4,42.66,135.76,"7,193.86",0.48
Dec-22,NWAS,"24,264",71.39%,79.11%,"13,728",44.76%,"6,745",21.99%,"4,201",13.70%,"17,579.81","12,985.69","8,263.12","1,015.75",48.56,105.84,"24,823.46",0.57
Dec-22,SCAS,"13,643",79.29%,65.01%,"5,831",27.79%,"2,643",12.59%,"1,676",7.99%,"7,990.42","5,761.35","3,844.51",828.37,36.39,71.34,"12,727.41",0.38
Dec-22,SECAmb,"22,237",92.02%,71.31%,"7,916",25.39%,"1,770",5.68%,539,1.73%,"6,292.98","2,857.55",813.02,309.27,26.06,45.77,"13,543.33",0.2
Dec-22,SWAS,"24,791",100.00%,81.38%,"19,253",63.20%,"13,679",44.90%,"11,090",36.40%,"62,471.89","57,018.89","48,968.64","2,447.67",136.9,342.94,"69,508.03",2.05
Dec-22,WMAS,"31,206",86.23%,79.45%,"18,121",46.13%,"10,888",27.72%,"8,094",20.61%,"35,761.15","29,843.47","22,995.25","1,712.00",68.87,170.08,"45,086.24",0.91
Dec-22,YAS,"15,781",85.56%,56.38%,"9,319",33.30%,"5,189",18.54%,"3,516",12.56%,"13,658.96","10,657.23","7,228.29",833.67,40.99,94.26,"19,121.76",0.49
Jan-23,EEAST,"23,343",84.61%,76.54%,"11,902",39.03%,"5,950",19.51%,"4,038",13.24%,"17,529.94","13,357.42","9,248.94",716.87,48.62,0,"24,713.40",0.57
Jan-23,EMAS,"23,184",100.00%,71.92%,"9,129",28.32%,"3,321",10.30%,"1,961",6.08%,"15,915.10","8,643.51","4,633.18",784,33.36,67.65,"17,922.88",0.49
Jan-23,IOW,294,97.46%,21.92%,20,1.49%,2,0.15%,1,0.07%,27.13,3.8,0.95,116.22,12.87,18.27,287.63,0.02
Jan-23,LAS,"28,323",86.47%,64.73%,"12,402",28.34%,"4,356",9.96%,"2,147",4.91%,"12,094.59","7,350.47","3,650.53",623,29.47,57.76,"21,494.57",0.28
Jan-23,NEAS,"8,184",78.98%,61.09%,"2,831",21.13%,"1,098",8.20%,689,5.14%,"3,250.28","2,754.94","2,019.64",353.35,27.88,76.39,"6,224.01",0.24
Jan-23,NWAS,"20,502",71.63%,68.19%,"8,648",28.77%,"3,197",10.63%,"1,801",5.99%,"9,500.86","6,125.51","3,551.79","1,029.37",32.6,66.73,"16,332.43",0.32
Jan-23,SCAS,"11,029",87.10%,50.05%,"2,659",12.07%,702,3.19%,346,1.57%,"2,805.62","1,397.12",730.31,779.65,20.46,34.13,"7,515.83",0.13
Jan-23,SECAmb,"18,281",93.97%,59.47%,"3,929",12.78%,467,1.52%,113,0.37%,"3,247.84",943.6,173.57,212.87,19.77,31.75,"10,126.40",0.11
Jan-23,SWAS,"22,570",100.00%,71.24%,"14,507",45.79%,"8,350",26.35%,"6,162",19.45%,"34,058.34","29,540.42","24,122.55","2,355.95",77.77,192.34,"41,064.99",1.07
Jan-23,WMAS,"28,879",92.06%,68.82%,"12,142",28.94%,"5,402",12.87%,"3,650",8.70%,"17,784.59","13,051.33","9,156.52","1,540.00",39.24,85.12,"27,442.12",0.42
Jan-23,YAS,"12,315",87.02%,43.79%,"5,453",19.39%,"2,249",8.00%,"1,248",4.44%,"6,275.36","4,227.47","2,488.26",736,24.2,54.01,"11,344.38",0.22
Feb-23,EEAST,"23,196",88.00%,75.44%,"11,225",36.51%,"5,440",17.69%,"3,550",11.55%,"15,137.18","11,090.99","7,256.10",716.03,43.63,96.32,"22,360.71",0.49
Feb-23,EMAS,"20,919",100.00%,71.62%,"7,951",27.22%,"2,738",9.37%,"1,548",5.30%,"13,160.00","6,724.09","3,313.36",522,31.19,61.77,"15,184.89",0.45
Feb-23,IOW,305,98.26%,24.50%,15,1.20%,0,0.00%,0,0.00%,24.81,2.4,0,54.45,12.99,18.46,269.46,0.02
Feb-23,LAS,"26,722",88.34%,65.06%,"11,831",28.80%,"4,235",10.31%,"2,147",5.23%,"11,520.36","7,023.47","3,468.95",552,29.78,59.04,"20,389.46",0.28
Feb-23,NEAS,"6,899",77.38%,54.85%,"1,741",13.84%,402,3.20%,169,1.34%,"1,556.36","1,101.12",533.45,278.55,20.52,50.92,"4,301.40",0.12
Feb-23,NWAS,"17,454",71.96%,60.91%,"6,363",22.21%,"1,883",6.57%,940,3.28%,"5,925.38","3,240.21","1,518.07",566.75,25.65,50.47,"12,250.29",0.21
Feb-23,SCAS,"10,725",87.81%,51.50%,"2,640",12.68%,724,3.48%,362,1.74%,"2,762.22","1,376.31",699.62,467.48,20.88,36.46,"7,246.98",0.13
Feb-23,SECAmb,"16,637",94.35%,57.73%,"3,373",11.70%,278,0.96%,46,0.16%,"2,736.40",695.55,74.72,161.53,19.06,30.48,"9,154.88",0.09
Feb-23,SWAS,"22,678",100.00%,71.76%,"14,269",45.15%,"7,848",24.83%,"5,507",17.43%,"25,537.85","21,032.07","15,798.44","1,474.32",61.84,149.42,"32,571.39",0.81
Feb-23,WMAS,"26,122",93.36%,66.76%,"10,346",26.44%,"4,168",10.65%,"2,582",6.60%,"12,041.84","7,880.17","4,707.32","1,010.00",32.19,66.86,"20,993.34",0.31
Feb-23,YAS,"10,719",81.42%,43.75%,"4,956",20.23%,"2,210",9.02%,"1,258",5.13%,"5,541.14","3,731.42","2,098.26",517.9,24.13,53.81,"9,853.57",0.23
Mar-23,EEAST,"26,959",89.13%,77.71%,"14,729",42.45%,"8,240",23.75%,"5,872",16.93%,"24,169.70","19,215.39","13,851.93","1,381.75",55.97,126.98,"32,364.24",0.7
Mar-23,EMAS,"24,328",100.00%,72.80%,"9,814",29.37%,"3,545",10.61%,"2,053",6.14%,"16,077.36","8,503.10","4,204.62",520,32.64,66.66,"18,175.99",0.48
Mar-23,IOW,266,97.91%,18.34%,19,1.31%,0,0.00%,0,0.00%,23.67,2.16,0,51.58,12.32,17.68,297.63,0.02
Mar-23,LAS,"30,750",89.00%,65.20%,"13,664",28.97%,"4,431",9.40%,"2,038",4.32%,"12,437.24","7,237.17","3,268.59",518.17,28.83,55.81,"22,660.04",0.26
Mar-23,NEAS,"8,104",79.68%,55.86%,"2,333",16.08%,711,4.90%,355,2.45%,"2,260.38","1,744.95","1,043.92",310.07,22.48,57.08,"5,434.93",0.16
Mar-23,NWAS,"20,796",68.52%,66.87%,"8,784",28.25%,"3,244",10.43%,"1,827",5.87%,"9,340.80","5,907.40","3,271.61",743.75,31.57,65.37,"16,363.36",0.3
Mar-23,SCAS,"12,289",87.41%,53.07%,"3,349",14.46%,"1,044",4.51%,575,2.48%,"3,682.21","2,028.28","1,121.26",503.4,22.55,41.11,"8,703.25",0.16
Mar-23,SECAmb,"19,162",93.88%,59.92%,"4,355",13.62%,507,1.59%,70,0.22%,"3,453.74","1,001.59",128.58,353.22,19.96,32.18,"10,639.69",0.11
Mar-23,SWAS,"26,037",100.00%,73.60%,"17,000",48.05%,"9,984",28.22%,"7,317",20.68%,"34,847.67","29,595.12","23,176.16","1,434.90",72.55,174.26,"42,780.44",0.99
Mar-23,WMAS,"30,539",92.97%,69.25%,"13,340",30.25%,"5,886",13.35%,"3,807",8.63%,"17,182.19","12,103.47","7,798.17","1,124.78",37.19,82.23,"27,337.33",0.39
Mar-23,YAS,"12,887",90.66%,40.79%,"6,131",19.41%,"2,663",8.43%,"1,545",4.89%,"6,820.38","4,618.17","2,606.85",541.25,23.1,52.63,"12,165.31",0.22
Apr-23,EEAST,"25,103",93.18%,69.57%,"10,456",28.98%,"4,394",12.18%,"2,673",7.41%,"12,804.16","8,726.05","5,418.37",870.8,35.16,73.45,"21,146.43",0.35
Apr-23,EMAS,"21,984",100.00%,66.49%,"6,789",20.53%,"1,580",4.78%,725,2.19%,"11,383.12","4,320.33","1,502.82",413,24.68,45.45,"13,602.57",0.34
Apr-23,IOW,358,98.51%,24.69%,26,1.79%,4,0.28%,2,0.14%,38.05,7.81,3.67,179.23,13.27,19.45,320.73,0.03
Apr-23,LAS,"29,992",89.96%,62.59%,"12,075",25.20%,"3,284",6.85%,"1,346",2.81%,"10,197.62","5,356.57","2,084.82",348.07,25.64,48.14,"20,480.24",0.21
Apr-23,NEAS,"8,249",82.63%,55.17%,"1,953",13.06%,436,2.92%,195,1.30%,"1,773.68","1,230.02",595.29,323.18,20.23,49.55,"5,041.07",0.12
Apr-23,NWAS,"19,763",73.98%,58.53%,"6,261",18.54%,"1,474",4.37%,714,2.11%,"5,545.73","2,645.45","1,121.94",583.27,22.99,42.82,"12,937.06",0.16
Apr-23,SCAS,"11,399",89.13%,49.36%,"2,761",11.96%,891,3.86%,518,2.24%,"3,251.90","1,808.83","1,061.11",493.35,21.3,38.46,"8,197.40",0.14
Apr-23,SECAmb,"15,739",94.16%,50.96%,"2,705",8.76%,206,0.67%,20,0.06%,"2,295.83",515.96,41.28,181.52,17.46,27.55,"8,988.87",0.07
Apr-23,SWAS,"23,880",100.00%,66.35%,"13,655",37.94%,"6,550",18.20%,"4,330",12.03%,"20,143.47","15,611.12","10,972.21","1,214.80",46.58,105.82,"27,941.58",0.56
Apr-23,WMAS,"27,072",94.87%,63.33%,"8,420",19.70%,"2,788",6.52%,"1,583",3.70%,"9,266.44","5,296.62","2,967.32",588.53,26.59,51.81,"18,947.28",0.22
Apr-23,YAS,"10,854",88.49%,36.39%,"4,205",14.10%,"1,480",4.96%,762,2.55%,"4,118.28","2,428.33","1,202.78",632,18.07,39.9,"8,983.18",0.14
May-23,EEAST,"25,930",92.45%,69.68%,"11,029",29.64%,"5,190",13.95%,"3,462",9.30%,"15,097.62","10,874.48","7,196.22",749.3,38.21,82.9,"23,699.94",0.41
May-23,EMAS,"24,081",100.00%,69.18%,"8,715",25.04%,"2,669",7.67%,"1,449",4.16%,"14,120.28","6,563.31","2,895.98",586,28.49,56.78,"16,532.03",0.41
May-23,IOW,332,96.35%,22.05%,32,2.12%,2,0.13%,2,0.13%,37.06,6.78,2.43,141.03,12.95,19.17,325.03,0.02
May-23,LAS,"30,644",90.12%,63.60%,"12,827",26.62%,"3,968",8.24%,"1,664",3.45%,"11,298.40","6,268.93","2,593.09",540,27.01,50.8,"21,689.74",0.23
May-23,NEAS,"8,475",81.79%,55.69%,"2,166",14.23%,506,3.33%,205,1.35%,"1,934.16","1,387.52",679.89,265.53,20.8,53.12,"5,274.71",0.13
May-23,NWAS,"21,373",76.55%,57.80%,"6,790",18.36%,"1,798",4.86%,910,2.46%,"6,339.09","3,207.84","1,481.76",634.68,23.37,44.62,"14,401.28",0.17
May-23,SCAS,"11,985",85.83%,51.58%,"3,057",13.16%,"1,029",4.43%,628,2.70%,"3,826.97","2,264.07","1,426.14",594.88,22.84,41.24,"8,845.37",0.16
May-23,SECAmb,"16,474",94.83%,49.86%,"2,858",8.65%,250,0.76%,18,0.05%,"2,456.40",564.59,51.99,277.33,17.36,27.16,"9,557.88",0.07
May-23,SWAS,"24,529",100.00%,64.31%,"13,968",36.62%,"6,844",17.94%,"4,534",11.89%,"20,172.59","15,547.91","10,738.45","1,119.60",44.53,103.69,"28,305.87",0.53
May-23,WMAS,"27,951",94.34%,64.73%,"9,590",22.21%,"3,733",8.65%,"2,233",5.17%,"11,277.64","7,088.57","4,224.35",862,29.33,59.21,"21,106.50",0.26
May-23,YAS,"11,338",94.21%,34.89%,"4,206",12.94%,"1,574",4.84%,863,2.66%,"4,382.56","2,653.91","1,391.66",387,17.77,40.04,"9,624.52",0.13
Jun-23,EEAST,"24,787",92.90%,68.84%,"10,498",29.16%,"4,639",12.88%,"3,000",8.33%,"13,369.53","9,343.35","5,961.45","1,021.55",36.09,78.72,"21,657.35",0.37
Jun-23,EMAS,"22,918",100.00%,68.21%,"7,390",21.99%,"1,899",5.65%,993,2.96%,"12,088.26","4,904.68","1,864.77",424.78,25.9,48.9,"14,504.01",0.36
Jun-23,IOW,229,98.19%,15.62%,7,0.48%,1,0.07%,1,0.07%,18.04,2.46,1.34,140.13,11.8,16.46,288.37,0.01
Jun-23,LAS,"29,882",91.02%,62.66%,"12,063",25.30%,"3,334",6.99%,"1,386",2.91%,"10,229.90","5,383.10","2,077.81",487.1,25.75,47.54,"20,466.68",0.21
Jun-23,NEAS,"6,603",81.69%,57.95%,"1,742",15.29%,419,3.68%,140,1.23%,"1,524.60","1,088.02",519.71,248.17,21.28,51.92,"4,041.50",0.13
