Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
30-Jan-22,WMAS,Royal Shrewsbury,38,67.86%,35,92.11%,22,57.89%,18,47.37%,11,28.95%,54.03,46.9,36.9,468,100.15,280.97,63.43,1.42
28-Jan-22,WMAS,Royal Shrewsbury,36,50.00%,34,94.44%,27,75.00%,21,58.33%,18,50.00%,71.81,64.24,52.42,420,134.41,369.35,80.64,1.99
26-Jan-22,WMAS,Royal Shrewsbury,43,61.43%,37,86.05%,31,72.09%,27,62.79%,23,53.49%,87.44,78.76,64.13,545,136.27,312.38,97.66,2.03
27-Jan-22,WMAS,Royal Shrewsbury,43,62.32%,42,97.67%,33,76.74%,24,55.81%,22,51.16%,85.06,75.35,60.95,394,133.66,279,95.79,1.98
01-Jan-22,WMAS,Royal Shrewsbury,36,59.02%,34,94.44%,26,72.22%,21,58.33%,21,58.33%,107.36,99.81,88.44,880,193.63,469.45,116.18,2.98
02-Jan-22,WMAS,Royal Shrewsbury,33,62.26%,31,93.94%,24,72.73%,17,51.52%,16,48.48%,69,62.42,53.17,552,140.37,396.02,77.21,2.09
03-Jan-22,WMAS,Royal Shrewsbury,33,54.10%,30,90.91%,24,72.73%,17,51.52%,10,30.30%,32.71,25.94,16.54,323.27,74.02,136.52,40.71,0.99
04-Jan-22,WMAS,Royal Shrewsbury,34,62.96%,30,88.24%,25,73.53%,17,50.00%,16,47.06%,69.78,63.02,52.2,512,137.83,307.78,78.1,2.05
05-Jan-22,WMAS,Royal Shrewsbury,36,54.55%,35,97.22%,28,77.78%,24,66.67%,23,63.89%,81.69,73.72,61,430,150.96,325.1,90.58,2.27
07-Jan-22,WMAS,Royal Shrewsbury,39,58.21%,37,94.87%,26,66.67%,15,38.46%,14,35.90%,64.95,57.28,46.8,445,114.61,314.6,74.5,1.67
06-Jan-22,WMAS,Royal Shrewsbury,40,78.43%,35,87.50%,18,45.00%,9,22.50%,9,22.50%,25.53,19.09,12.57,208,52.64,138.13,35.09,0.64
08-Jan-22,WMAS,Royal Shrewsbury,39,76.47%,37,94.87%,23,58.97%,13,33.33%,9,23.08%,27.53,20.25,11.79,227.73,57.24,127.92,37.21,0.71
